slug,name,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10
ginger,"Ginger",,,,,,,,,
dry-hibiscus-flower,"Dry Hibiscus Flower",,,,,,,,,
black-stone-flower,"Black Stone Flower",,,,,,,,,
turmeric,"Fresh & Dried Turmeric",,,,,,,,,
red-chilli-pepper,"Red Chilli Pepper",,,,,,,,,
yellow-black-pepper,"Yellow & Black Pepper",,,,,,,,,
garlic,"Fresh & Dried Garlic",,,,,,,,,
cloves,"Cloves",,,,,,,,,
sesame-seeds,"Sesame Seeds",,,,,,,,,
popcorn-maize,"Popcorn Maize",,,,,,,,,
maize-corn-derivatives,"Maize, Corn Flour, Corn Grits, Cornmeal, & Corn Bran",,,,,,,,,
shea-butter-oil,"Shea Butter & Shea Oil",,,,,,,,,
black-eyed-beans,"Black Eyed Beans (Cowpea)",,,,,,,,,
peanuts,"Peanuts",,,,,,,,,
moringa-seeds,"Moringa Seeds",,,,,,,,,
cocoa-beans,"Cocoa Beans",,,,,,,,,
millet,"Millet",,,,,,,,,
soybeans,"Soybeans",,,,,,,,,
breadfruit,"Breadfruit",,,,,,,,,
tiger-nuts,"Tiger Nuts",,,,,,,,,
bitter-kola,"Bitter Kola",,,,,,,,,
kola-nut,"Kola Nut",,,,,,,,,
almond,"Almond",,,,,,,,,
dates,"Dates",,,,,,,,,
gum-arabic,"Gum Arabic",,,,,,,,,
palm-kernel-oil,"Palm Kernel Oil (PKO)",,,,,,,,,
peanut-oil,"Peanut (Groundnut) Oil",,,,,,,,,
palm-oil,"Palm Oil",,,,,,,,,
natural-rubber,"Natural Rubber",,,,,,,,,
